p_s_per_km,X_degree,T_second,T_reduced_second,turn_depth_km,phase_name,branch_name
0.04614,83.4086932126836,750.65575871096,-83.4311734158754,2450.17942994762,P,turn below 670 km
0.0466955,82.4779757131234,745.845522229229,-78.934234902005,2414.51160401352,P,turn below 670 km
0.047251,81.5241826077217,740.857803950893,-74.3840221263239,2379.36947749826,P,turn below 670 km
0.0478065,80.6673554471827,736.322841839517,-70.3507126323099,2344.67416582356,P,turn below 670 km
0.048362,79.8520500911322,731.957942216483,-66.5625586948394,2310.46311555454,P,turn below 670 km
0.0489175,79.2116640614388,728.489548387199,-63.6270922271887,2276.74833750859,P,turn below 670 km
0.049473,78.4486813352416,724.302200576156,-60.1846127762592,2242.18237110705,P,turn below 670 km
0.0500285,77.5275438591409,719.199779169085,-56.0756594223249,2207.82436066564,P,turn below 670 km
0.050584,76.5571177689539,713.764956755081,-51.8062209344581,2173.94485699403,P,turn below 670 km
0.0511395,75.6718285273277,708.750747904162,-47.9675373691142,2140.52562990129,P,turn below 670 km
0.051695,74.8239037301091,703.895664332332,-44.3433729687587,2107.56642667828,P,turn below 670 km
0.0522505,74.1427085988664,699.95377573757,-41.4733102510945,2075.05922209342,P,turn below 670 km
0.052806,73.3549817141104,695.345262159402,-38.2045549817025,2042.33466142994,P,turn below 670 km
0.0533615,72.5135666204662,690.373188226551,-34.7624779781102,2009.95502142233,P,turn below 670 km
0.053917,71.8389730487728,686.344698361699,-32.0450321260295,1978.00806224557,P,turn below 670 km
0.0544725,71.0893282977136,681.815163631484,-29.0781193456518,1945.29197465549,P,turn below 670 km
0.055028,69.766522723118,673.746680530327,-23.9185467008521,1912.66270044571,P,turn below 670 km
0.0555835,68.997305303458,668.999672084252,-20.9733809503283,1880.4516321406,P,turn below 670 km
0.056139,67.9992884207302,662.797168642443,-17.1957155648589,1849.26202088312,P,turn below 670 km
0.0566945,67.2018199882453,657.788031414504,-14.2301684679488,1818.72877420937,P,turn below 670 km
0.05725,66.4825030776659,653.224510876811,-11.6005198998479,1788.58796181482,P,turn below 670 km
0.0578055,65.9674743750817,649.920658342524,-9.75408540829289,1758.24718412564,P,turn below 670 km
0.058361,65.0101944913507,643.731841867448,-6.37010304605872,1727.45139323812,P,turn below 670 km
0.0589165,64.1185768035461,637.912338583708,-3.27342945175224,1697.03647826855,P,turn below 670 km
0.059472,63.1468502563267,631.50991480317,0.0414122399034795,1667.01382421777,P,turn below 670 km
0.0600275,62.2839378418541,625.769425661866,2.93004724332491,1637.47274103226,P,turn below 670 km
0.060583,61.1721661017184,618.298743728498,6.57708271131423,1608.29313361358,P,turn below 670 km
0.0611385,60.7022615213454,615.1044481957,8.08183298224628,1579.46835548865,P,turn below 670 km
0.061694,59.9062765213535,609.661139394886,10.598374181351,1550.57096597065,P,turn below 670 km
0.0622495,58.9977675066363,603.39469416147,13.4170190951068,1521.84270235283,P,turn below 670 km
0.062805,57.9705169499678,596.241955689834,16.5367861901556,1493.45621247238,P,turn below 670 km
0.0633605,57.2160305798389,590.939004991949,18.77869919356,1465.43675585084,P,turn below 670 km
0.063916,56.3933355509106,585.112013293578,21.1786577844721,1437.87423900355,P,turn below 670 km
0.0644715,55.5793029760524,579.296632463799,23.5036027032745,1410.63582722792,P,turn below 670 km
0.065027,54.796806103961,573.65829141961,25.6902303800001,1383.71614888409,P,turn below 670 km
0.0655825,54.0499323994375,568.228517128959,27.7291931345845,1356.82910683304,P,turn below 670 km
0.066138,53.1765526938902,561.82765680021,30.062129861308,1329.99739492673,P,turn below 670 km
0.0666935,52.2982664638636,555.3364296343,32.3537649956643,1303.47258562538,P,turn below 670 km
0.067249,51.4027780496527,548.662118276715,34.6343377801879,1277.24991194439,P,turn below 670 km
0.0678045,50.5322706180912,542.120380977056,36.7976747961442,1251.45934360177,P,turn below 670 km
0.06836,49.7045558566476,535.847879110711,38.8023205442349,1226.00242182799,P,turn below 670 km
0.0689155,48.9089988017757,529.770396623958,40.6804086062007,1200.83253549402,P,turn below 670 km
0.069471,48.1450964819525,523.888543173136,42.4375783536113,1175.94512840932,P,turn below 670 km
0.0700265,47.2925064920497,517.268417138341,44.3433522178439,1150.95309638876,P,turn below 670 km
0.070582,46.4149789735174,510.401538773382,46.2517490382082,1126.14123171377,P,turn below 670 km
0.0711375,45.5227449987771,503.365227685223,48.1377776974518,1101.60185026403,P,turn below 670 km
0.071693,44.6030547702416,496.055969324664,50.0254216222483,1077.33064495543,P,turn below 670 km
0.0722485,43.6664888927055,488.555354012444,51.8904650853893,1053.46294899256,P,turn below 670 km
0.072804,42.7710208211537,481.327625302238,53.6174170907015,1029.9039107019,P,turn below 670 km
0.0733595,41.8528399728322,473.860311118526,55.3319113902037,1006.59919357768,P,turn below 670 km
0.073915,40.8508818386199,465.649492262512,57.1406738763133,983.546029748326,P,turn below 670 km
